2026-02-01 10:00:00	二零二五 乙巳[蛇]年 腊月小十四	星期日	无	乙巳 己丑 丙午 癸巳	无	立春 (2, 4)	蛇	水瓶座	沐浴、剃头、捕捉、畋猎、赴任、整容、整手足甲、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、选将、苫盖、施恩、解除、颁诏、修饰垣墙、修仓库、出师、布政事、祈福、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
2026-02-02 10:00:00	二零二五 乙巳[蛇]年 腊月小十五	星期一	世、界、湿、地、日	乙巳 己丑 丁未 乙巳	无	立春 (2, 4)	蛇	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
2026-02-03 10:00:00	二零二五 乙巳[蛇]年 腊月小十六	星期二	南、岳、大、帝、诞	乙巳 己丑 戊申 丁巳	无	立春 (2, 4)	蛇	水瓶座	沐浴、剃头、经络、纳财、扫舍宇、伐木、畋猎、牧养、纳畜、开仓、选将、整容、整手足甲、酝酿、安抚边境	出行、结婚姻、宴会、嫁娶、修造、上官、进人口、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、营建、修饰垣墙、修仓库、缮城郭、补垣、纳采、求嗣、筑堤防、搬移、庆赐、修宫室
2026-02-04 10:00:00	二零二五 乙巳[蛇]年 腊月小十七	星期三	世、界、抗、癌、日	乙巳 庚寅 己酉 己巳	立春	雨水 (2, 18)	蛇	水瓶座	祭祀、沐浴、剃头、扫舍宇、整容、布政事、整手足甲、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、修仓库、出师、祈福、缮城郭、取鱼、上册、乘船渡水、纳采、求嗣、举正直、修宫室、筑堤防、立券交易、搬移、安抚边境、庆赐、临政
2026-02-05 10:00:00	二零二五 乙巳[蛇]年 腊月小十八	星期四	无	乙巳 庚寅 庚戌 辛巳	无	雨水 (2, 18)	蛇	水瓶座	出行、结婚姻、宴会、嫁娶、修造、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、修仓库、布政事、缮城郭、入宅、纳采、筑堤防、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	安床、剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、招贤、选将、解除、颁诏、整容、修饰垣墙、出师、祈福、补垣、鼓铸、上册、整手足甲、远回、求嗣、宣政事、塞穴
2026-02-06 10:00:00	二零二五 乙巳[蛇]年 腊月小十九	星期五	无	乙巳 庚寅 辛亥 癸巳	无	雨水 (2, 18)	蛇	水瓶座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政	嫁娶、剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、开张、整容、修饰垣墙、补垣、取鱼、鼓铸、整手足甲、修宫室、筑堤防、塞穴
2026-02-07 10:00:00	二零二五 乙巳[蛇]年 腊月小二十	星期六	京、汉、铁、路、罢、工、纪、念	乙巳 庚寅 壬子 乙巳	无	雨水 (2, 18)	蛇	水瓶座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、营建、纳畜、招贤、施恩、选将、解除、颁诏、出师、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	剃头、冠带、开渠、破屋坏垣、伐木、畋猎、鼓铸、开仓、取鱼、苫盖、补垣、整容、入宅、筑堤防、塞穴、修饰垣墙、整手足甲
2026-02-08 10:00:00	二零二五 乙巳[蛇]年 腊月小廿一	星期日	天、猷、上、帝、诞	乙巳 庚寅 癸丑 丁巳	无	雨水 (2, 18)	蛇	水瓶座	诸事不宜	诸事不宜
2026-02-09 10:00:00	二零二五 乙巳[蛇]年 腊月小廿二	星期一	无	乙巳 庚寅 甲寅 己巳	无	雨水 (2, 18)	蛇	水瓶座	宴会、经络、纳财、赴任、纳畜、施恩、举正直、覃恩、恤孤茕、立券交易、酝酿、诉讼、裁制、庆赐、雪冤	祭祀、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、营建、开仓、解除、整容、修饰垣墙、祈福、补垣、取鱼、上册、整手足甲、求嗣、筑堤防、搬移
2026-02-10 10:00:00	二零二五 乙巳[蛇]年 腊月小廿三	星期二	国、际、气、象、节、小、年	乙巳 庚寅 乙卯 辛巳	无	雨水 (2, 18)	蛇	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、扫舍宇、赴任、选将、解除、整容、出师、入宅、整手足甲、纳采、立券交易、搬移、安抚边境、临政	上表章、冠带、竖柱上梁、修置产室、穿井、栽种、牧养、营建、纳畜、开仓、招贤、修仓库、祈福、缮城郭、取鱼、上册、乘船渡水、求嗣、修宫室、筑堤防
2026-02-11 10:00:00	二零二五 乙巳[蛇]年 腊月小廿四	星期三	子、时、灶、君、上、天、朝、玉、帝	乙巳 庚寅 丙辰 癸巳	无	雨水 (2, 18)	蛇	水瓶座	出行、宴会、修造、上表章、竖柱上梁、经络、牧养、安葬、营建、纳畜、选将、解除、颁诏、出师、祈福、缮城郭、上册、求嗣、宣政事、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、修宫室	祭祀、畋猎、乘船渡水、取鱼、鼓铸
2026-02-12 10:00:00	二零二五 乙巳[蛇]年 腊月小廿五	星期四	无	乙巳 庚寅 丁巳 乙巳	无	雨水 (2, 18)	蛇	水瓶座	平治道涂、覃恩、恤孤茕、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、整容、布政事、补垣、取鱼、鼓铸、整手足甲、筑堤防、塞穴
2026-02-13 10:00:00	二零二五 乙巳[蛇]年 腊月小廿六	星期五	无	乙巳 庚寅 戊午 丁巳	无	雨水 (2, 18)	蛇	水瓶座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、施恩、缮城郭、祈福、纳采、求嗣、举正直、酝酿、裁制、搬移、庆赐、临政、修宫室	修置产室、安葬、选将、苫盖、安抚边境、出师
2026-02-14 10:00:00	二零二五 乙巳[蛇]年 腊月小廿七	星期六	情、人、节	乙巳 庚寅 己未 己巳	无	雨水 (2, 18)	蛇	水瓶座	捕捉	结婚姻、嫁娶、修造、求医疗病、纳畜、选将、纳采、安抚边境、出师
2026-02-15 10:00:00	二零二五 乙巳[蛇]年 腊月小廿八	星期日	无	乙巳 庚寅 庚申 辛巳	无	雨水 (2, 18)	蛇	水瓶座	祭祀、沐浴、扫舍宇、破屋坏垣、入宅	结婚姻、宴会、安床、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、启攒、营建、开仓、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、布政事、修仓库、缮城郭、补垣、鼓铸、上册、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、安抚边境、庆赐、临政、修宫室
2026-02-16 10:00:00	二零二五 乙巳[蛇]年 腊月小廿九	星期一	华、严、菩、萨、诞	乙巳 庚寅 辛酉 癸巳	无	雨水 (2, 18)	蛇	水瓶座	祭祀、出行、结婚姻、嫁娶、安床、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、营建、纳畜、招贤、选将、施恩、解除、颁诏、整容、修仓库、出师、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、雪冤、临政	宴会、冠带、修置产室、开渠、穿井、安碓硙、畋猎、启攒、修饰垣墙、开仓、补垣、筑堤防、塞穴、取鱼、鼓铸、布政事、修宫室
