1945-04-11	一九四五 乙酉[鸡]年 二月小廿九	周三	无	无	无	乙酉 庚辰 庚戌 辛巳	无	谷雨 (4, 20)	鸡	白羊座	祭祀、沐浴、求医疗病、破屋坏垣、恤孤茕、解除、入宅、覃恩、雪冤	冠带、修置产室、开渠、穿井、安碓硙、伐木、破土、安葬、启攒、纳畜、鼓铸、修仓库、上册、颁诏、乘船渡水、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
1945-04-12	一九四五 乙酉[鸡]年 三月大初一	周四	无	二殿楚江王诞	无	乙酉 庚辰 辛亥 癸巳	无	谷雨 (4, 20)	鸡	白羊座	宴会、安床、沐浴、纳财、栽种、牧养、覃恩、安抚边境、纳畜、选将、取鱼、出师、雪冤、庆赐、恤孤茕、布政事	出行、嫁娶、求医疗病、畋猎、破土、安葬、启攒、酝酿、整手足甲、祈福、开仓、修仓库、求嗣、解除
1945-04-13	一九四五 乙酉[鸡]年 三月大初二	周五	无	无	无	乙酉 庚辰 壬子 乙巳	无	谷雨 (4, 20)	鸡	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、酝酿、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、诉讼	开渠、穿井、畋猎、远回、取鱼、开仓
1945-04-14	一九四五 乙酉[鸡]年 三月大初三	周六	无	三月三-玄天上帝诞	无	乙酉 庚辰 癸丑 丁巳	无	谷雨 (4, 20)	鸡	白羊座	进人口、纳财、捕捉、覃恩、纳畜、取鱼、雪冤、恤孤茕	出行、结婚姻、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、破土、安葬、启攒、纳采、鼓铸、举正直、临政、修仓库、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、宣政事、施恩、修宫室、搬移、招贤、缮城郭、立券交易
1945-04-15	一九四五 乙酉[鸡]年 三月大初四	周日	无	无	无	乙酉 庚辰 甲寅 己巳	无	谷雨 (4, 20)	鸡	白羊座	出行、宴会、求医疗病、上表章、上官、入学、开市、牧养、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福、立券交易	祭祀、嫁娶、平治道涂、破屋坏垣、伐木、畋猎、针刺、纳采、营建、补垣、取鱼、出师、修饰垣墙、乘船渡水、开仓、筑堤防
1945-04-16	一九四五 乙酉[鸡]年 三月大初五	周一	无	无	无	乙酉 庚辰 乙卯 辛巳	无	谷雨 (4, 20)	鸡	白羊座	赴任、补垣、塞穴、入宅	上表章、冠带、竖柱上梁、修置产室、开渠、穿井、栽种、牧养、安葬、纳畜、针刺、举正直、布政事、修仓库、求嗣、解除、上册、颁诏、乘船渡水、庆赐、开仓、营建、安抚边境、宣政事、选将、施恩、修宫室、招贤、祈福、缮城郭、出师、疗目
1945-04-17	一九四五 乙酉[鸡]年 三月大初六	周二	无	无	无	乙酉 庚辰 丙辰 癸巳	无	谷雨 (4, 20)	鸡	白羊座	祭祀	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1945-04-18	一九四五 乙酉[鸡]年 三月大初七	周三	无	无	无	乙酉 庚辰 丁巳 乙巳	无	谷雨 (4, 20)	鸡	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、鼓铸、布政事、筑堤防、补垣、修饰垣墙、塞穴、取鱼
1945-04-19	一九四五 乙酉[鸡]年 三月大初八	周四	无	六殿卞城王诞	无	乙酉 庚辰 戊午 丁巳	无	谷雨 (4, 20)	鸡	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师
1945-04-20	一九四五 乙酉[鸡]年 三月大初九	周五	无	无	无	乙酉 庚辰 己未 己巳	谷雨	立夏 (5, 6)	鸡	白羊座	诸事不宜	诸事不宜
1945-04-21	一九四五 乙酉[鸡]年 三月大初十	周六	无	无	无	乙酉 庚辰 庚申 辛巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、沐浴、扫舍宇、入宅	修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、鼓铸、布政事、颁诏、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、远回、出师、取鱼
1945-04-22	一九四五 乙酉[鸡]年 三月大十一	周日	无	无	无	乙酉 庚辰 辛酉 癸巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、纳畜、整手足甲、临政、解除、酝酿、整容、安抚边境、祈福、立券交易、取鱼	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、纳采、鼓铸、举正直、布政事、修仓库、求嗣、上册、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、缮城郭、出师
1945-04-23	一九四五 乙酉[鸡]年 三月大十二	周一	无	无	无	乙酉 庚辰 壬戌 乙巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、沐浴、求医疗病、恤孤茕、解除、覃恩、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、畋猎、破土、启攒、鼓铸、布政事、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
1945-04-24	一九四五 乙酉[鸡]年 三月大十三	周二	无	无	无	乙酉 庚辰 癸亥 丁巳	无	立夏 (5, 6)	鸡	金牛座	安床、沐浴、纳财、牧养、纳畜、取鱼	出行、结婚姻、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、修仓库、求嗣、解除、开仓、筑堤防、营建、补垣、修宫室、修饰垣墙、祈福、缮城郭
1945-04-25	一九四五 乙酉[鸡]年 三月大十四	周三	无	无	无	乙酉 庚辰 甲子 己巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、举正直、临政、恤孤茕、布政事、赴任、酝酿、裁制、庆赐、覃恩、施恩、雪冤、祈福、立券交易、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、营建、补垣、远回、修饰垣墙、乘船渡水、开仓
1945-04-26	一九四五 乙酉[鸡]年 三月大十五	周四	无	昊天上帝诞	无	乙酉 庚辰 乙丑 辛巳	无	立夏 (5, 6)	鸡	金牛座	进人口、纳财、捕捉、纳畜、恤孤茕、赴任、入宅、覃恩、雪冤、取鱼	结婚姻、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、鼓铸、举正直、整手足甲、临政、修仓库、解除、上册、颁诏、裁制、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、缮城郭
1945-04-27	一九四五 乙酉[鸡]年 三月大十六	周五	无	准提菩萨诞	无	乙酉 庚辰 丙寅 癸巳	无	立夏 (5, 6)	鸡	金牛座	出行、结婚姻、宴会、上表章、上官、入学、竖柱上梁、开市、纳财、牧养、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、立券交易	祭祀、嫁娶、平治道涂、破屋坏垣、伐木、畋猎、针刺、营建、补垣、取鱼、修饰垣墙、乘船渡水、筑堤防
1945-04-28	一九四五 乙酉[鸡]年 三月大十七	周六	无	无	无	乙酉 庚辰 丁卯 乙巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、恤孤茕、裁制、覃恩、雪冤、塞穴	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、针刺、疗目、取鱼、修饰垣墙、整容
1945-04-29	一九四五 乙酉[鸡]年 三月大十八	周日	无	无	无	乙酉 庚辰 戊辰 丁巳	无	立夏 (5, 6)	鸡	金牛座	恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1945-04-30	一九四五 乙酉[鸡]年 三月大十九	周一	无	中岳大帝诞	无	乙酉 庚辰 己巳 己巳	无	立夏 (5, 6)	鸡	金牛座	沐浴、扫舍宇、恤孤茕、雪冤	出行、宴会、修造、上表章、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、筑堤防、营建、补垣、宣政事、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭
