1981-01-01	一九八零 庚申[猴]年	冬月大	廿六	周四	庚申 戊子 己卯 己巳	无	小寒 (1, 5)	元旦节	北方五道诞	无	猴	摩羯座	诸事不宜	诸事不宜
1981-01-02	一九八零 庚申[猴]年	冬月大	廿七	周五	庚申 戊子 庚辰 辛巳	无	小寒 (1, 5)	无	无	无	猴	摩羯座	祭祀、宴会、修造、上官、冠带、进人口、竖柱上梁、安碓硙、安葬、诉讼、搬移、祈福、缮城郭、裁制、修宫室、覃恩、庆赐、恤孤茕、雪冤、布政事、入宅、临政、纳畜、赴任、酝酿、纳采	求医疗病、开市、修置产室、栽种、解除、开仓
1981-01-03	一九八零 庚申[猴]年	冬月大	廿八	周六	庚申 戊子 辛巳 癸巳	无	小寒 (1, 5)	无	无	无	猴	摩羯座	祭祀、捕捉、覃恩、恤孤茕、雪冤	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、修宫室、补垣、取鱼、整容、修饰垣墙、塞穴、鼓铸、整手足甲、筑堤防
1981-01-04	一九八零 庚申[猴]年	冬月大	廿九	周日	庚申 戊子 壬午 乙巳	无	小寒 (1, 5)	无	无	无	猴	摩羯座	祭祀、沐浴、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、针刺、招贤、整容、布政事、宣政事、安抚边境、入宅、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、乘船渡水、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防、苫盖
1981-01-05	一九八零 庚申[猴]年	冬月大	三十	周一	庚申 己丑 癸未 丁巳	小寒	大寒 (1, 20)	无	无	无	猴	摩羯座	破屋坏垣、覃恩、恤孤茕、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、启攒、补垣、修饰垣墙、整容、鼓铸、整手足甲、出师、筑堤防、塞穴、开仓、修宫室
1981-01-06	一九八零 庚申[猴]年	腊月大	初一	周二	庚申 己丑 甲申 己巳	无	大寒 (1, 20)	无	无	无	猴	摩羯座	祭祀、出行、沐浴、剃头、修造、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、搬移、缮城郭、裁制、修宫室、整容、施恩、临政、纳畜、举正直、酝酿	出师
1981-01-07	一九八零 庚申[猴]年	腊月大	初二	周三	庚申 己丑 乙酉 辛巳	无	大寒 (1, 20)	无	无	无	猴	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、祈福、开仓、裁制、上册、颁诏、求嗣、覃恩、恤孤茕、雪冤、招贤、整容、入宅、宣政事、施恩、临政、举正直、解除、赴任、酝酿、整手足甲	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、修饰垣墙、苫盖
1981-01-08	一九八零 庚申[猴]年	腊月大	初三	周四	庚申 己丑 丙戌 癸巳	无	大寒 (1, 20)	无	无	周恩来逝世纪念日	猴	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
1981-01-09	一九八零 庚申[猴]年	腊月大	初四	周五	庚申 己丑 丁亥 乙巳	无	大寒 (1, 20)	无	无	无	猴	摩羯座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、远回、鼓铸、营建、纳采、整手足甲、出师、筑堤防
1981-01-10	一九八零 庚申[猴]年	腊月大	初五	周六	庚申 己丑 戊子 丁巳	无	大寒 (1, 20)	无	无	中国公安110宣传日	猴	摩羯座	祭祀、沐浴、经络、安葬、塞穴、酝酿	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、搬移、祈福、缮城郭、开仓、上册、修宫室、颁诏、求嗣、庆赐、补垣、针刺、招贤、布政事、宣政事、安抚边境、疗目、施恩、立券交易、临政、修饰垣墙、纳畜、举正直、解除、乘船渡水、修仓库、选将、远回、营建、纳采、出师、筑堤防
1981-01-11	一九八零 庚申[猴]年	腊月大	初六	周日	庚申 己丑 己丑 己巳	无	大寒 (1, 20)	无	无	无	猴	摩羯座	宴会、经络、纳财、裁制、庆赐、施恩、立券交易、纳畜、举正直、酝酿	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、搬移、祈福、开仓、上册、颁诏、求嗣、补垣、取鱼、整容、宣政事、修饰垣墙、解除、营建、整手足甲、筑堤防
