1922-07-01	一九二二 壬戌[狗]年 闰五月小初七	周六	无	无	中国共产党诞生日,香港回归纪念日	壬戌 丙午 庚午 辛巳	无	小暑 (7, 8)	狗	巨蟹座	诸事不宜	诸事不宜
1922-07-02	一九二二 壬戌[狗]年 闰五月小初八	周日	无	南方五道诞	无	壬戌 丙午 辛未 癸巳	无	小暑 (7, 8)	狗	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、破土、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	畋猎、取鱼
1922-07-03	一九二二 壬戌[狗]年 闰五月小初九	周一	无	无	无	壬戌 丙午 壬申 乙巳	无	小暑 (7, 8)	狗	巨蟹座	出行、嫁娶、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、补垣、搬移、裁制、入宅、解除、整容、选将、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲	祭祀、结婚姻、安床、开渠、穿井、招贤、举正直、施恩
1922-07-04	一九二二 壬戌[狗]年 闰五月小初十	周二	无	无	无	壬戌 丙午 癸酉 丁巳	无	小暑 (7, 8)	狗	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
1922-07-05	一九二二 壬戌[狗]年 闰五月小十一	周三	无	天下都城隍诞	无	壬戌 丙午 甲戌 己巳	无	小暑 (7, 8)	狗	巨蟹座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、栽种、开仓、解除
1922-07-06	一九二二 壬戌[狗]年 闰五月小十二	周四	无	炳灵公诞	无	壬戌 丙午 乙亥 辛巳	无	小暑 (7, 8)	狗	巨蟹座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1922-07-07	一九二二 壬戌[狗]年 闰五月小十三	周五	无	关圣降	中国人民抗日战争纪念日	壬戌 丙午 丙子 癸巳	无	小暑 (7, 8)	狗	巨蟹座	祭祀、沐浴、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、苫盖、整手足甲、修宫室、祈福
1922-07-08	一九二二 壬戌[狗]年 闰五月小十四	周六	无	无	无	壬戌 丁未 丁丑 乙巳	小暑	大暑 (7, 24)	狗	巨蟹座	赴任、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1922-07-09	一九二二 壬戌[狗]年 闰五月小十五	周日	无	无	无	壬戌 丁未 戊寅 丁巳	无	大暑 (7, 24)	狗	巨蟹座	出行、结婚姻、宴会、安床、修造、上官、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、临政、搬移、裁制、开仓、纳采、纳畜、举正直、酝酿、缮城郭、施恩、修宫室、立券交易	祭祀、嫁娶、剃头、安葬、整容、整手足甲、出师
1922-07-10	一九二二 壬戌[狗]年 闰五月小十六	周一	无	天地元气造化万物之辰	无	壬戌 丁未 己卯 己巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、庆赐、临政、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、招贤、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、立券交易、祈福	穿井、畋猎、取鱼、苫盖
1922-07-11	一九二二 壬戌[狗]年 闰五月小十七	周二	无	无	世界人口日	壬戌 丁未 庚辰 辛巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、进人口、纳财、捕捉、栽种、牧养、恤孤茕、纳畜、覃恩、雪冤	嫁娶、冠带、修置产室、开渠、穿井、破土、安葬、启攒、修仓库、鼓铸、颁诏、出师、招贤、筑堤防、选将、营建、安抚边境、宣政事、上册
1922-07-12	一九二二 壬戌[狗]年 闰五月小十八	周三	无	张天师诞	无	壬戌 丁未 辛巳 癸巳	无	大暑 (7, 24)	狗	巨蟹座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
1922-07-13	一九二二 壬戌[狗]年 闰五月小十九	周四	无	无	无	壬戌 丁未 壬午 乙巳	无	大暑 (7, 24)	狗	巨蟹座	经络、安葬、补垣、赴任、入宅、恤孤茕、覃恩、酝酿、雪冤、塞穴、诉讼	出行、安床、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、开仓、修仓库、颁诏、解除、出师、招贤、选将、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、取鱼、宣政事、上册、苫盖、修宫室、整手足甲、疗目、祈福
1922-07-14	一九二二 壬戌[狗]年 闰五月小二十	周五	无	无	无	壬戌 丁未 癸未 丁巳	无	大暑 (7, 24)	狗	巨蟹座	出行、宴会、嫁娶、上官、进人口、经络、纳财、庆赐、临政、裁制、恤孤茕、纳畜、招贤、布政事、举正直、酝酿、覃恩、雪冤、施恩、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲
1922-07-15	一九二二 壬戌[狗]年 闰五月小廿一	周六	无	无	无	壬戌 丁未 甲申 己巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、祈福	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、补垣、开仓、鼓铸、乘船渡水、布政事、筑堤防、酝酿、取鱼、修饰垣墙、塞穴、修宫室、立券交易
1922-07-16	一九二二 壬戌[狗]年 闰五月小廿二	周日	无	孝娥神诞	无	壬戌 丁未 乙酉 辛巳	无	大暑 (7, 24)	狗	巨蟹座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1922-07-17	一九二二 壬戌[狗]年 闰五月小廿三	周一	无	无	无	壬戌 丁未 丙戌 癸巳	无	大暑 (7, 24)	狗	巨蟹座	诸事不宜	诸事不宜
1922-07-18	一九二二 壬戌[狗]年 闰五月小廿四	周二	无	无	无	壬戌 丁未 丁亥 乙巳	无	大暑 (7, 24)	狗	巨蟹座	出行、宴会、沐浴、修造、冠带、竖柱上梁、经络、安碓硙、庆赐、临政、搬移、裁制、赴任、入宅、恤孤茕、纳畜、酝酿、雪冤、缮城郭、修宫室	嫁娶、剃头、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、开仓、解除、整容、选将、安抚边境、取鱼、上册、乘船渡水、出师
1922-07-19	一九二二 壬戌[狗]年 闰五月小廿五	周三	无	无	无	壬戌 丁未 戊子 丁巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、沐浴、剃头、捕捉、裁制、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、修仓库、鼓铸、乘船渡水、纳畜、出师、解除、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、取鱼、施恩、上册、塞穴、远回、修宫室、立券交易、祈福
1922-07-20	一九二二 壬戌[狗]年 闰五月小廿六	周四	无	无	无	壬戌 丁未 己丑 己巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1922-07-21	一九二二 壬戌[狗]年 闰五月小廿七	周五	无	无	无	壬戌 丁未 庚寅 辛巳	无	大暑 (7, 24)	狗	巨蟹座	宴会、安床、上表章、开市、纳财、牧养、安葬、立券交易、选将、酝酿、安抚边境、纳畜、开仓	祭祀、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、补垣、修仓库、解除、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室、祈福
1922-07-22	一九二二 壬戌[狗]年 闰五月小廿八	周六	无	无	无	壬戌 丁未 辛卯 癸巳	无	大暑 (7, 24)	狗	巨蟹座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、开仓、纳采、解除、举正直、求嗣、施恩、上册、立券交易、祈福	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、选将、补垣、修饰垣墙、苫盖、出师
1922-07-23	一九二二 壬戌[狗]年 闰五月小廿九	周日	无	无	无	壬戌 丁未 壬辰 乙巳	无	大暑 (7, 24)	狗	狮子座	祭祀、进人口、纳财、捕捉、牧养、入宅、纳畜	上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、补垣、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、营建、安抚边境、修饰垣墙、宣政事、上册
1922-07-24	一九二二 壬戌[狗]年 六月大初一	周一	无	无	无	壬戌 丁未 癸巳 丁巳	大暑	立秋 (8, 8)	狗	狮子座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
1922-07-25	一九二二 壬戌[狗]年 六月大初二	周二	无	无	无	壬戌 丁未 甲午 己巳	无	立秋 (8, 8)	狗	狮子座	祭祀、经络、安葬、裁制、赴任、恤孤茕、覃恩、酝酿、雪冤、塞穴、诉讼	冠带、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、开张、开仓、布政事、针刺、取鱼、修饰垣墙、苫盖、修宫室、疗目
1922-07-26	一九二二 壬戌[狗]年 六月大初三	周三	无	无	无	壬戌 丁未 乙未 辛巳	无	立秋 (8, 8)	狗	狮子座	出行、宴会、上官、进人口、经络、纳财、庆赐、临政、裁制、纳畜、出师、招贤、选将、举正直、酝酿、施恩、安抚边境、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲
1922-07-27	一九二二 壬戌[狗]年 六月大初四	周四	无	无	无	壬戌 丁未 丙申 癸巳	无	立秋 (8, 8)	狗	狮子座	祭祀、沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、庆赐、补垣、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、招贤、布政事、筑堤防、酝酿、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易
1922-07-28	一九二二 壬戌[狗]年 六月大初五	周五	无	无	无	壬戌 丁未 丁酉 乙巳	无	立秋 (8, 8)	狗	狮子座	出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、补垣、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、入宅、纳畜、解除、出师、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲、祈福	祭祀、宴会、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、临政、鼓铸、颁诏、乘船渡水、招贤、布政事、筑堤防、举正直、针刺、营建、施恩、修饰垣墙、宣政事
1922-07-29	一九二二 壬戌[狗]年 六月大初六	周六	无	无	无	壬戌 丁未 戊戌 丁巳	无	立秋 (8, 8)	狗	狮子座	诸事不宜	诸事不宜
1922-07-30	一九二二 壬戌[狗]年 六月大初七	周日	无	无	无	壬戌 丁未 己亥 己巳	无	立秋 (8, 8)	狗	狮子座	祭祀、出行、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、祈福	嫁娶、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、筑堤防、补垣、取鱼、修饰垣墙、乘船渡水
