1933-08-11	一九三三 癸酉[鸡]年 六月小二十	周五	无	无	无	癸酉 庚申 己酉 己巳	无	处暑 (8, 23)	鸡	狮子座	出行、沐浴、剃头、求医疗病、上官、扫舍宇、安葬、临政、解除、恤孤茕、出师、整容、布政事、选将、覃恩、雪冤、安抚边境、整手足甲	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、捕捉、畋猎、栽种、牧养、补垣、搬移、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、筑堤防、求嗣、营建、缮城郭、取鱼、宣政事、上册、塞穴、修宫室、立券交易、祈福
1933-08-12	一九三三 癸酉[鸡]年 六月小廿一	周六	无	无	国际青年日	癸酉 庚申 庚戌 辛巳	无	处暑 (8, 23)	鸡	狮子座	宴会、上表章、进人口、竖柱上梁、开市、纳财、栽种、牧养、庆赐、补垣、裁制、开仓、立券交易、修仓库、恤孤茕、纳畜、布政事、覃恩、雪冤、缮城郭、塞穴、上册、修宫室	祭祀、结婚姻、上官、破土、启攒、招贤、举正直、取鱼、施恩、整手足甲、乘船渡水、纳采
1933-08-13	一九三三 癸酉[鸡]年 六月小廿二	周日	无	无	无	癸酉 庚申 辛亥 癸巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、沐浴、平治道涂、覃恩、修饰垣墙、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
1933-08-14	一九三三 癸酉[鸡]年 六月小廿三	周一	无	无	无	癸酉 庚申 壬子 乙巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、祈福	修置产室、开渠、穿井、畋猎、取鱼、整手足甲、乘船渡水
1933-08-15	一九三三 癸酉[鸡]年 六月小廿四	周二	无	关帝诞	无	癸酉 庚申 癸丑 丁巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、宴会、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、庆赐、临政、裁制、开仓、修仓库、赴任、颁诏、入宅、恤孤茕、解除、纳畜、招贤、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、祈福	冠带、畋猎、取鱼、远回
1933-08-16	一九三三 癸酉[鸡]年 六月小廿五	周三	无	无	无	癸酉 庚申 甲寅 己巳	无	处暑 (8, 23)	鸡	狮子座	诸事不宜	诸事不宜
1933-08-17	一九三三 癸酉[鸡]年 六月小廿六	周四	无	无	无	癸酉 庚申 乙卯 辛巳	无	处暑 (8, 23)	鸡	狮子座	祭祀	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、筑堤防、选将、布政事、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、祈福
1933-08-18	一九三三 癸酉[鸡]年 六月小廿七	周五	无	无	无	癸酉 庚申 丙辰 癸巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、入学	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
1933-08-19	一九三三 癸酉[鸡]年 六月小廿八	周六	无	无	无	癸酉 庚申 丁巳 乙巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、纳畜、解除、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、立券交易、祈福	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、布政事、筑堤防、整容、取鱼、修饰垣墙、塞穴、修宫室、整手足甲
1933-08-20	一九三三 癸酉[鸡]年 六月小廿九	周日	无	无	无	癸酉 庚申 戊午 丁巳	无	处暑 (8, 23)	鸡	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、入宅、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福	剃头、冠带、破屋坏垣、伐木、畋猎、破土、整容、布政事、筑堤防、补垣、取鱼、鼓铸、修饰垣墙、塞穴、苫盖、整手足甲、开仓
1933-08-21	一九三三 癸酉[鸡]年 七月大初一	周一	无	无	无	癸酉 庚申 己未 己巳	无	处暑 (8, 23)	鸡	狮子座	诸事不宜	诸事不宜
1933-08-22	一九三三 癸酉[鸡]年 七月大初二	周二	无	无	邓小平诞辰纪念日	癸酉 庚申 庚申 辛巳	无	处暑 (8, 23)	鸡	狮子座	出行、沐浴、上官、进人口、纳财、扫舍宇、临政、裁制、颁诏、恤孤茕、纳畜、招贤、举正直、酝酿、覃恩、雪冤、施恩、宣政事	安床、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、启攒、补垣、开仓、筑堤防、求嗣、营建、修饰垣墙、上册、祈福
1933-08-23	一九三三 癸酉[鸡]年 七月大初三	周三	无	无	无	癸酉 庚申 辛酉 癸巳	处暑	白露 (9, 8)	鸡	处女座	出行、沐浴、剃头、求医疗病、上官、扫舍宇、安葬、临政、解除、恤孤茕、出师、整容、选将、雪冤、安抚边境、整手足甲	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、捕捉、畋猎、栽种、牧养、庆赐、补垣、搬移、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、筑堤防、酝酿、求嗣、营建、缮城郭、取鱼、宣政事、上册、塞穴、修宫室、立券交易、祈福
1933-08-24	一九三三 癸酉[鸡]年 七月大初四	周四	无	无	无	癸酉 庚申 壬戌 乙巳	无	白露 (9, 8)	鸡	处女座	出行、宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、搬移、裁制、开仓、立券交易、修仓库、颁诏、恤孤茕、解除、纳畜、覃恩、求嗣、雪冤、营建、缮城郭、宣政事、塞穴、上册、修宫室、祈福	祭祀、开渠、穿井、畋猎、取鱼、乘船渡水
1933-08-25	一九三三 癸酉[鸡]年 七月大初五	周五	无	无	无	癸酉 庚申 癸亥 丁巳	无	白露 (9, 8)	鸡	处女座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、纳财、平治道涂、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、赴任、颁诏、入宅、恤孤茕、出师、解除、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、修饰垣墙、施恩、宣政事、安抚边境、上册、修宫室、祈福	嫁娶、冠带、修置产室、开渠、穿井、畋猎、破土、启攒、筑堤防、布政事、取鱼、鼓铸、乘船渡水
1933-08-26	一九三三 癸酉[鸡]年 七月大初六	周六	无	无	无	癸酉 庚申 甲子 己巳	无	白露 (9, 8)	鸡	处女座	祭祀、出行、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、赴任、纳畜、恤孤茕、布政事、举正直、酝酿、覃恩、求嗣、雪冤、缮城郭、施恩、修宫室、祈福、诉讼	修置产室、选将、安抚边境、整手足甲、出师
1933-08-27	一九三三 癸酉[鸡]年 七月大初七	周日	无	七夕-魁星诞	无	癸酉 庚申 乙丑 辛巳	无	白露 (9, 8)	鸡	处女座	宴会、纳财、捕捉、牧养、庆赐、布政事、覃恩、恤孤茕、纳畜、雪冤	出行、结婚姻、嫁娶、修造、求医疗病、冠带、畋猎、修仓库、远回、搬移、出师
1933-08-28	一九三三 癸酉[鸡]年 七月大初八	周一	无	无	无	癸酉 庚申 丙寅 癸巳	无	白露 (9, 8)	鸡	处女座	诸事不宜	诸事不宜
1933-08-29	一九三三 癸酉[鸡]年 七月大初九	周二	无	无	无	癸酉 庚申 丁卯 乙巳	无	白露 (9, 8)	鸡	处女座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、安抚边境、施恩、宣政事、上册、立券交易、祈福	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、整容、筑堤防、补垣、取鱼、修饰垣墙、修宫室、开仓
1933-08-30	一九三三 癸酉[鸡]年 七月大初十	周三	无	无	无	癸酉 庚申 戊辰 丁巳	无	白露 (9, 8)	鸡	处女座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、立券交易、修仓库、入宅、恤孤茕、出师、解除、纳畜、筑堤防、选将、布政事、覃恩、酝酿、求嗣、雪冤、营建、缮城郭、安抚边境、上册、修宫室、祈福	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、开仓、鼓铸、整容、针刺、取鱼、修饰垣墙、塞穴、远回、整手足甲
1933-08-31	一九三三 癸酉[鸡]年 七月大十一	周四	无	无	无	癸酉 庚申 己巳 己巳	无	白露 (9, 8)	鸡	处女座	结婚姻、宴会、嫁娶、进人口、经络、开市、纳财、捕捉、栽种、牧养、安葬、立券交易、酝酿、开仓、纳畜	祭祀、出行、安床、剃头、修造、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、庆赐、补垣、临政、搬移、裁制、纳采、修仓库、鼓铸、颁诏、解除、出师、招贤、布政事、选将、筑堤防、整容、举正直、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
