1999-01-01	一九九八 戊寅[虎]年 冬月小十四	周五	元旦节	无	无	戊寅 甲子 癸丑 丁巳	无	小寒 (1, 6)	虎	摩羯座	祭祀、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、庆赐、临政、搬移、裁制、立券交易、赴任、解除、入宅、恤孤茕、整容、布政事、覃恩、酝酿、举正直、雪冤、施恩、整手足甲、祈福	冠带、破土、启攒、修仓库、乘船渡水
1999-01-02	一九九八 戊寅[虎]年 冬月小十五	周六	无	无	无	戊寅 甲子 甲寅 己巳	无	小寒 (1, 6)	虎	摩羯座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、嫁娶、剃头、招贤、整容、取鱼、远回、整手足甲、乘船渡水
1999-01-03	一九九八 戊寅[虎]年 冬月小十六	周日	无	无	无	戊寅 甲子 乙卯 辛巳	无	小寒 (1, 6)	虎	摩羯座	诸事不宜	诸事不宜
1999-01-04	一九九八 戊寅[虎]年 冬月小十七	周一	无	阿弥陀佛诞	无	戊寅 甲子 丙辰 癸巳	无	小寒 (1, 6)	虎	摩羯座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、安葬、庆赐、临政、裁制、纳采、赴任、纳畜、酝酿、缮城郭、修宫室、祈福、诉讼	求医疗病、开市、修置产室、栽种、开仓、解除
1999-01-05	一九九八 戊寅[虎]年 冬月小十八	周二	无	无	无	戊寅 甲子 丁巳 乙巳	无	小寒 (1, 6)	虎	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1999-01-06	一九九八 戊寅[虎]年 冬月小十九	周三	无	太阳日宫诞	无	戊寅 乙丑 戊午 丁巳	小寒	大寒 (1, 20)	虎	摩羯座	嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、捕捉、畋猎、安葬、临政、搬移、纳采、赴任、解除、入宅、整容、安抚边境、整手足甲、诉讼	出行、结婚姻、宴会、安床、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、启攒、庆赐、开仓、修仓库、纳畜、出师、乘船渡水、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、施恩、取鱼、上册、苫盖、修宫室、立券交易、祈福
1999-01-07	一九九八 戊寅[虎]年 冬月小二十	周四	无	无	无	戊寅 乙丑 己未 己巳	无	大寒 (1, 20)	虎	摩羯座	破屋坏垣	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1999-01-08	一九九八 戊寅[虎]年 冬月小廿一	周五	无	无	周恩来逝世纪念日	戊寅 乙丑 庚申 辛巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、沐浴、剃头、上表章、上官、竖柱上梁、开市、纳财、扫舍宇、伐木、栽种、牧养、安葬、临政、裁制、开仓、修仓库、颁诏、恤孤茕、纳畜、招贤、整容、覃恩、举正直、酝酿、雪冤、营建、缮城郭、施恩、宣政事、上册	立券、开张、取鱼
1999-01-09	一九九八 戊寅[虎]年 冬月小廿二	周六	无	无	无	戊寅 乙丑 辛酉 癸巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、出行、沐浴、剃头、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、扫舍宇、栽种、牧养、安葬、临政、裁制、解除、筑堤防、整容、举正直、求嗣、缮城郭、施恩、上册、修宫室、整手足甲、祈福	宴会、畋猎、选将、苫盖、出师
1999-01-10	一九九八 戊寅[虎]年 冬月小廿三	周日	无	张仙诞	中国公安110宣传日	戊寅 乙丑 壬戌 乙巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1999-01-11	一九九八 戊寅[虎]年 冬月小廿四	周一	无	无	无	戊寅 乙丑 癸亥 丁巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、出行、宴会、沐浴、修造、求医疗病、上表章、上官、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、修仓库、赴任、解除、恤孤茕、入宅、选将、覃恩、求嗣、雪冤、缮城郭、安抚边境、上册、修宫室、祈福	结婚姻、嫁娶、剃头、冠带、竖柱上梁、平治道涂、破屋坏垣、伐木、畋猎、破土、安葬、启攒、补垣、开仓、鼓铸、纳畜、出师、布政事、整容、筑堤防、营建、取鱼、修饰垣墙、塞穴、远回、整手足甲
1999-01-12	一九九八 戊寅[虎]年 冬月小廿五	周二	无	无	无	戊寅 乙丑 甲子 己巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、沐浴、经络、安葬、裁制、恤孤茕、酝酿、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、取鱼、宣政事、安抚边境、修饰垣墙、上册、远回、修宫室、疗目、祈福
1999-01-13	一九九八 戊寅[虎]年 冬月小廿六	周三	无	北方五道诞	无	戊寅 乙丑 乙丑 辛巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、宴会、经络、纳财、牧养、庆赐、裁制、恤孤茕、纳畜、布政事、举正直、覃恩、酝酿、雪冤、施恩、立券交易	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、启攒、整容、筑堤防、补垣、取鱼、修饰垣墙、整手足甲
1999-01-14	一九九八 戊寅[虎]年 冬月小廿七	周四	无	无	无	戊寅 乙丑 丙寅 癸巳	无	大寒 (1, 20)	虎	摩羯座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	祭祀、上表章、开渠、穿井、安葬、补垣、颁诏、招贤、筑堤防、营建、宣政事、上册、塞穴
1999-01-15	一九九八 戊寅[虎]年 冬月小廿八	周五	无	无	无	戊寅 乙丑 丁卯 乙巳	无	大寒 (1, 20)	虎	摩羯座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1999-01-16	一九九八 戊寅[虎]年 冬月小廿九	周六	无	无	无	戊寅 乙丑 戊辰 丁巳	无	大寒 (1, 20)	虎	摩羯座	平治道涂、入宅、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1999-01-17	一九九八 戊寅[虎]年 腊月大初一	周日	无	无	无	戊寅 乙丑 己巳 己巳	无	大寒 (1, 20)	虎	摩羯座	结婚姻、宴会、冠带、竖柱上梁、经络、庆赐、临政、裁制、纳采、纳畜、酝酿	出行、求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、补垣、开仓、鼓铸、乘船渡水、解除、出师、筑堤防、选将、营建、安抚边境、取鱼、修饰垣墙、上册、塞穴、整手足甲
1999-01-18	一九九八 戊寅[虎]年 腊月大初二	周一	无	无	无	戊寅 乙丑 庚午 辛巳	无	大寒 (1, 20)	虎	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、畋猎、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、赴任、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、祈福、诉讼	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、补垣、开仓、乘船渡水、筑堤防、酝酿、取鱼、修饰垣墙、苫盖、修宫室、立券交易
1999-01-19	一九九八 戊寅[虎]年 腊月大初三	周二	无	无	无	戊寅 乙丑 辛未 癸巳	无	大寒 (1, 20)	虎	摩羯座	解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、安葬、启攒、补垣、修仓库、鼓铸、颁诏、纳畜、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、上册、塞穴、整手足甲
1999-01-20	一九九八 戊寅[虎]年 腊月大初四	周三	无	无	无	戊寅 乙丑 壬申 乙巳	大寒	立春 (2, 4)	虎	水瓶座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、开仓、纳畜、整容、选将、酝酿、安抚边境、整手足甲	出行、结婚姻、宴会、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、庆赐、补垣、搬移、纳采、修仓库、出师、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室
1999-01-21	一九九八 戊寅[虎]年 腊月大初五	周四	无	无	列宁逝世纪念日	戊寅 乙丑 癸酉 丁巳	无	立春 (2, 4)	虎	水瓶座	沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、临政、裁制、赴任、入宅、解除、整容、举正直、酝酿、施恩、上册、整手足甲	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、营建、选将、补垣、修饰垣墙、苫盖、乘船渡水、出师
1999-01-22	一九九八 戊寅[虎]年 腊月大初六	周五	无	无	无	戊寅 乙丑 甲戌 己巳	无	立春 (2, 4)	虎	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1999-01-23	一九九八 戊寅[虎]年 腊月大初七	周六	无	无	无	戊寅 乙丑 乙亥 辛巳	无	立春 (2, 4)	虎	水瓶座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、解除、恤孤茕、出师、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、上册、修宫室、祈福	嫁娶、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、远回、整手足甲
1999-01-24	一九九八 戊寅[虎]年 腊月大初八	周日	无	腊八节-释迦如来成佛之辰	无	戊寅 乙丑 丙子 癸巳	无	立春 (2, 4)	虎	水瓶座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、修宫室、疗目、祈福
1999-01-25	一九九八 戊寅[虎]年 腊月大初九	周一	无	无	无	戊寅 乙丑 丁丑 乙巳	无	立春 (2, 4)	虎	水瓶座	宴会、经络、纳财、庆赐、裁制、纳畜、举正直、酝酿、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、补垣、搬移、开仓、颁诏、解除、整容、筑堤防、求嗣、营建、取鱼、修饰垣墙、宣政事、上册、整手足甲、祈福
1999-01-26	一九九八 戊寅[虎]年 腊月大初十	周二	无	无	国际海关日	戊寅 乙丑 戊寅 丁巳	无	立春 (2, 4)	虎	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、破土、庆赐、临政、搬移、裁制、开仓、纳采、解除、入宅、出师、整容、选将、求嗣、缮城郭、安抚边境、整手足甲、修宫室、立券交易、祈福	祭祀、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、安葬、启攒、补垣、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、营建、修饰垣墙、宣政事、上册、塞穴
1999-01-27	一九九八 戊寅[虎]年 腊月大十一	周三	无	无	无	戊寅 乙丑 己卯 己巳	无	立春 (2, 4)	虎	水瓶座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1999-01-28	一九九八 戊寅[虎]年 腊月大十二	周四	无	无	无	戊寅 乙丑 庚辰 辛巳	无	立春 (2, 4)	虎	水瓶座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1999-01-29	一九九八 戊寅[虎]年 腊月大十三	周五	无	无	无	戊寅 乙丑 辛巳 癸巳	无	立春 (2, 4)	虎	水瓶座	祭祀、宴会、上官、冠带、竖柱上梁、经络、牧养、庆赐、临政、搬移、裁制、纳采、恤孤茕、纳畜、布政事、覃恩、举正直、求嗣、雪冤、施恩、祈福	出行、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、鼓铸、乘船渡水、出师、筑堤防、选将、营建、安抚边境、取鱼、修饰垣墙、上册、塞穴
