2051-01-16	二零五零 庚午[马]年	腊月小	初四	周一	庚午 己丑 辛丑 癸巳	无	大寒 (1, 20)	无	无	无	马	摩羯座	祭祀、宴会、经络、纳财、牧养、裁制、庆赐、施恩、立券交易、纳畜、举正直	剃头、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、安葬、启攒、上册、颁诏、补垣、取鱼、整容、宣政事、修饰垣墙、营建、整手足甲、筑堤防
2051-01-17	二零五零 庚午[马]年	腊月小	初五	周二	庚午 己丑 壬寅 乙巳	无	大寒 (1, 20)	无	无	无	马	摩羯座	沐浴、扫舍宇	祭祀、上表章、开渠、穿井、启攒、上册、颁诏、补垣、招贤、布政事、宣政事、塞穴、乘船渡水、营建、筑堤防
2051-01-18	二零五零 庚午[马]年	腊月小	初六	周三	庚午 己丑 癸卯 丁巳	无	大寒 (1, 20)	无	无	无	马	摩羯座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、开仓、修宫室、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、入宅、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2051-01-19	二零五零 庚午[马]年	腊月小	初七	周四	庚午 己丑 甲辰 己巳	无	大寒 (1, 20)	无	无	无	马	摩羯座	诸事不宜	诸事不宜
2051-01-20	二零五零 庚午[马]年	腊月小	初八	周五	庚午 己丑 乙巳 辛巳	大寒	立春 (2, 4)	无	腊八节-释迦如来成佛之辰	无	马	水瓶座	祭祀、结婚姻、宴会、上官、冠带、竖柱上梁、经络、牧养、搬移、祈福、裁制、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、入宅、宣政事、施恩、临政、纳畜、举正直、赴任、酝酿、纳采	出行、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、取鱼、鼓铸、筑堤防、塞穴、乘船渡水、修饰垣墙
2051-01-21	二零五零 庚午[马]年	腊月小	初九	周六	庚午 己丑 丙午 癸巳	无	立春 (2, 4)	无	无	列宁逝世纪念日	马	水瓶座	沐浴、剃头、捕捉、畋猎、诉讼、赴任、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、上册、裁制、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、招贤、布政事、宣政事、安抚边境、立券交易、施恩、修饰垣墙、临政、纳畜、举正直、解除、塞穴、乘船渡水、修仓库、酝酿、选将、鼓铸、营建、纳采、出师、筑堤防、苫盖
2051-01-22	二零五零 庚午[马]年	腊月小	初十	周日	庚午 己丑 丁未 乙巳	无	立春 (2, 4)	无	无	无	马	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2051-01-23	二零五零 庚午[马]年	腊月小	十一	周一	庚午 己丑 戊申 丁巳	无	立春 (2, 4)	无	无	无	马	水瓶座	祭祀、嫁娶、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、开仓、整容、安抚边境、纳畜、酝酿、选将、整手足甲	结婚姻、宴会、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、缮城郭、修宫室、求嗣、庆赐、补垣、修饰垣墙、修仓库、营建、纳采、筑堤防
2051-01-24	二零五零 庚午[马]年	腊月小	十二	周二	庚午 己丑 己酉 己巳	无	立春 (2, 4)	无	无	无	马	水瓶座	出行、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、裁制、上册、覃恩、恤孤茕、雪冤、布政事、施恩、临政、举正直、解除、酝酿、整手足甲	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、苫盖、选将、营建、出师、修饰垣墙
2051-01-25	二零五零 庚午[马]年	腊月小	十三	周三	庚午 己丑 庚戌 辛巳	无	立春 (2, 4)	无	无	无	马	水瓶座	祭祀、捕捉、覃恩、恤孤茕、雪冤、入宅	安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、开仓、修宫室、补垣、取鱼、整容、立券交易、修饰垣墙、塞穴、酝酿、鼓铸、整手足甲、筑堤防
2051-01-26	二零五零 庚午[马]年	腊月小	十四	周四	庚午 己丑 辛亥 癸巳	无	立春 (2, 4)	无	无	国际海关日	马	水瓶座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、开仓、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、乘船渡水、修仓库、酝酿、选将、远回、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2051-01-27	二零五零 庚午[马]年	腊月小	十五	周五	庚午 己丑 壬子 乙巳	无	立春 (2, 4)	无	无	无	马	水瓶座	祭祀、沐浴、经络、覃恩、恤孤茕、雪冤、塞穴、酝酿	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、搬移、祈福、缮城郭、开仓、上册、修宫室、颁诏、求嗣、庆赐、补垣、针刺、招贤、整容、布政事、宣政事、安抚边境、疗目、施恩、立券交易、临政、修饰垣墙、纳畜、举正直、解除、修仓库、选将、远回、营建、纳采、整手足甲、出师、筑堤防
2051-01-28	二零五零 庚午[马]年	腊月小	十六	周六	庚午 己丑 癸丑 丁巳	无	立春 (2, 4)	无	南岳大帝诞	无	马	水瓶座	宴会、经络、纳财、裁制、覃恩、庆赐、恤孤茕、雪冤、布政事、施恩、立券交易、纳畜、举正直、酝酿	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、搬移、祈福、开仓、上册、颁诏、求嗣、补垣、取鱼、整容、宣政事、修饰垣墙、解除、营建、整手足甲、筑堤防
2051-01-29	二零五零 庚午[马]年	腊月小	十七	周日	庚午 己丑 甲寅 己巳	无	立春 (2, 4)	无	无	无	马	水瓶座	沐浴、扫舍宇	祭祀、开渠、穿井、上册、颁诏、补垣、取鱼、招贤、布政事、宣政事、塞穴、乘船渡水、营建、筑堤防
2051-01-30	二零五零 庚午[马]年	腊月小	十八	周一	庚午 己丑 乙卯 辛巳	无	立春 (2, 4)	无	无	无	马	水瓶座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、搬移、祈福、缮城郭、裁制、开仓、上册、修宫室、颁诏、求嗣、覃恩、补垣、恤孤茕、雪冤、庆赐、招贤、入宅、宣政事、安抚边境、立券交易、施恩、临政、纳畜、举正直、解除、塞穴、修仓库、赴任、选将、营建、纳采、出师	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、取鱼、整容、鼓铸、布政事、整手足甲、筑堤防、修饰垣墙
2051-01-31	二零五零 庚午[马]年	腊月小	十九	周二	庚午 己丑 丙辰 癸巳	无	立春 (2, 4)	无	无	无	马	水瓶座	诸事不宜	诸事不宜
