1979-05-01	一九七九 己未[羊]年 四月大初六	周二	国际劳动节	无	无	己未 戊辰 戊辰 丁巳	无	立夏 (5, 6)	羊	金牛座	恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1979-05-02	一九七九 己未[羊]年 四月大初七	周三	无	无	无	己未 戊辰 己巳 己巳	无	立夏 (5, 6)	羊	金牛座	嫁娶、沐浴、剃头、修造、求医疗病、上官、经络、开市、纳财、扫舍宇、栽种、牧养、纳畜、纳采、整手足甲、临政、恤孤茕、解除、赴任、酝酿、开仓、入宅、整容、安抚边境、选将、雪冤、搬移、立券交易	出行、结婚姻、宴会、上表章、冠带、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、鼓铸、开张、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、筑堤防、营建、补垣、宣政事、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭
1979-05-03	一九七九 己未[羊]年 四月大初八	周四	无	释迦牟尼佛诞	世界新闻自由日	己未 戊辰 庚午 辛巳	无	立夏 (5, 6)	羊	金牛座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师
1979-05-04	一九七九 己未[羊]年 四月大初九	周五	无	无	中国青年节	己未 戊辰 辛未 癸巳	无	立夏 (5, 6)	羊	金牛座	诸事不宜	诸事不宜
1979-05-05	一九七九 己未[羊]年 四月大初十	周六	无	无	马克思诞辰纪念日	己未 戊辰 壬申 乙巳	无	立夏 (5, 6)	羊	金牛座	沐浴、扫舍宇、覃恩、雪冤、恤孤茕	安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、鼓铸、布政事、开仓、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
1979-05-06	一九七九 己未[羊]年 四月大十一	周日	无	无	无	己未 己巳 癸酉 丁巳	立夏	小满 (5, 21)	羊	金牛座	沐浴、剃头、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、整容、修宫室、搬移、缮城郭	出行、宴会、上表章、修置产室、上册、开仓、苫盖
1979-05-07	一九七九 己未[羊]年 四月大十二	周一	无	无	无	己未 己巳 甲戌 己巳	无	小满 (5, 21)	羊	金牛座	嫁娶、沐浴、修造、求医疗病、上表章、捕捉、纳采、安抚边境、选将、整手足甲、出师、搬移、入宅、解除	出行、开仓、修仓库
1979-05-08	一九七九 己未[羊]年 四月大十三	周二	无	无	世界红十字日	己未 己巳 乙亥 辛巳	无	小满 (5, 21)	羊	金牛座	沐浴、破屋坏垣、恤孤茕、解除、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、布政事、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1979-05-09	一九七九 己未[羊]年 四月大十四	周三	无	纯阳祖师诞	无	己未 己巳 丙子 癸巳	无	小满 (5, 21)	羊	金牛座	祭祀、宴会、沐浴、经络、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	诸事不忌
1979-05-10	一九七九 己未[羊]年 四月大十五	周四	无	钟离祖师诞	无	己未 己巳 丁丑 乙巳	无	小满 (5, 21)	羊	金牛座	结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、纳采、举正直、临政、修仓库、上册、酝酿、裁制、庆赐、筑堤防、修宫室、施恩、缮城郭、立券交易	剃头、求医疗病、冠带、选将、整手足甲、取鱼、出师、远回、乘船渡水、整容
