1909-04-01 10:00:00	一九零九 己酉[鸡]年 闰二月小十一	星期四	国、际、愚、人、节	己酉 丁卯 辛卯 癸巳	无	清明 (4, 5)	鸡	白羊座	宴会、上官、进人口、经络、纳财、纳畜、招贤、施恩、选将、出师、举正直、立券交易、裁制、安抚边境、庆赐、临政	剃头、求医疗病、上表章、立券、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、营建、开仓、苫盖、解除、开张、整容、修饰垣墙、补垣、取鱼、上册、整手足甲、乘船渡水、求嗣、筑堤防、搬移
1909-04-02 10:00:00	一九零九 己酉[鸡]年 闰二月小十二	星期五	国、际、儿、童、图、书、日	己酉 丁卯 壬辰 乙巳	无	清明 (4, 5)	鸡	白羊座	出行、沐浴、扫舍宇、施恩、解除、举正直、整手足甲、临政	宴会、嫁娶、剃头、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、开渠、穿井、畋猎、牧养、破土、安葬、启攒、纳畜、开仓、选将、整容、出师、修仓库、祈福、上册、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1909-04-03 10:00:00	一九零九 己酉[鸡]年 闰二月小十三	星期六	无	己酉 丁卯 癸巳 丁巳	无	清明 (4, 5)	鸡	白羊座	宴会、竖柱上梁、经络、开市、纳财、祈福、立券交易、塞穴、裁制、庆赐	祭祀、出行、结婚姻、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、营建、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、取鱼、纳采、宣政事、举正直、筑堤防、安抚边境
1909-04-04 10:00:00	一九零九 己酉[鸡]年 闰二月小十四	星期日	无	己酉 丁卯 甲午 己巳	无	清明 (4, 5)	鸡	白羊座	祭祀、平治道涂、修饰垣墙、入宅、覃恩、恤孤茕、雪冤	冠带、修置产室、开渠、穿井、畋猎、鼓铸、乘船渡水、苫盖、筑堤防、取鱼、布政事
1909-04-05 10:00:00	一九零九 己酉[鸡]年 闰二月小十五	星期一	清、明、节、释、迦、牟、尼、佛、般、涅、槃	己酉 戊辰 乙未 辛巳	清明	谷雨 (4, 21)	鸡	白羊座	诸事不宜	诸事不宜
1909-04-06 10:00:00	一九零九 己酉[鸡]年 闰二月小十六	星期二	无	己酉 戊辰 丙申 癸巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、选将、施恩、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1909-04-07 10:00:00	一九零九 己酉[鸡]年 闰二月小十七	星期三	世、界、卫、生、日、东、方、杜、将、军、诞	己酉 戊辰 丁酉 乙巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、捕捉、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、出师、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、雪冤、临政、修宫室	宴会、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、修饰垣墙、乘船渡水、补垣、筑堤防、取鱼
1909-04-08 10:00:00	一九零九 己酉[鸡]年 闰二月小十八	星期四	至、圣、先、师、孔、子、讳、辰	己酉 戊辰 戊戌 丁巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、沐浴、求医疗病、破屋坏垣、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、颁诏、修饰垣墙、布政事、修仓库、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、庆赐、临政、修宫室
1909-04-09 10:00:00	一九零九 己酉[鸡]年 闰二月小十九	星期五	观、音、大、士、诞	己酉 戊辰 己亥 己巳	无	谷雨 (4, 21)	鸡	白羊座	安床、沐浴、修造、纳财、栽种、牧养、赴任、纳畜、搬移、选将、安抚边境、纳采、入宅、取鱼、出师	嫁娶、求医疗病、畋猎、破土、安葬、启攒、开仓、祈福、求嗣、解除、修仓库、整手足甲
1909-04-10 10:00:00	一九零九 己酉[鸡]年 闰二月小二十	星期六	无	己酉 戊辰 庚子 辛巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上官、入学、进人口、竖柱上梁、开市、纳财、安碓硙、栽种、牧养、安葬、赴任、开仓、纳畜、施恩、选将、解除、出师、修仓库、缮城郭、祈福、纳采、求嗣、举正直、筑堤防、立券交易、酝酿、诉讼、裁制、安抚边境、庆赐、临政、修宫室	远回
1909-04-11 10:00:00	一九零九 己酉[鸡]年 闰二月小廿一	星期日	普、贤、菩、萨、诞	己酉 戊辰 辛丑 癸巳	无	谷雨 (4, 21)	鸡	白羊座	进人口、纳财、捕捉、纳畜、取鱼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、破土、安葬、启攒、营建、开仓、招贤、施恩、解除、颁诏、布政事、修仓库、缮城郭、鼓铸、上册、整手足甲、纳采、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、庆赐、临政、修宫室
1909-04-12 10:00:00	一九零九 己酉[鸡]年 闰二月小廿二	星期一	无	己酉 戊辰 壬寅 乙巳	无	谷雨 (4, 21)	鸡	白羊座	出行、宴会、修造、上表章、上官、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、营建、纳畜、招贤、施恩、选将、解除、颁诏、出师、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、立券交易、裁制、搬移、安抚边境、庆赐、雪冤、临政	祭祀、开渠、伐木、畋猎、乘船渡水、针刺、取鱼
1909-04-13 10:00:00	一九零九 己酉[鸡]年 闰二月小廿三	星期二	无	己酉 戊辰 癸卯 丁巳	无	谷雨 (4, 21)	鸡	白羊座	补垣、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、出师、布政事、修仓库、祈福、缮城郭、整手足甲、上册、疗目、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、搬移、安抚边境、庆赐、临政、修宫室
1909-04-14 10:00:00	一九零九 己酉[鸡]年 闰二月小廿四	星期三	无	己酉 戊辰 甲辰 己巳	无	谷雨 (4, 21)	鸡	白羊座	入宅	安床、剃头、求医疗病、上表章、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、启攒、营建、开仓、解除、颁诏、整容、修饰垣墙、布政事、祈福、补垣、鼓铸、整手足甲、上册、求嗣、宣政事、筑堤防、塞穴
1909-04-15 10:00:00	一九零九 己酉[鸡]年 闰二月小廿五	星期四	无	己酉 戊辰 乙巳 辛巳	无	谷雨 (4, 21)	鸡	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、营建、招贤、颁诏、修饰垣墙、修仓库、布政事、祈福、缮城郭、补垣、鼓铸、上册、纳采、求嗣、宣政事、筑堤防、塞穴、裁制、搬移、庆赐、修宫室
1909-04-16 10:00:00	一九零九 己酉[鸡]年 闰二月小廿六	星期五	无	己酉 戊辰 丙午 癸巳	无	谷雨 (4, 21)	鸡	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、入宅、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1909-04-17 10:00:00	一九零九 己酉[鸡]年 闰二月小廿七	星期六	无	己酉 戊辰 丁未 乙巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、平治道涂、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1909-04-18 10:00:00	一九零九 己酉[鸡]年 闰二月小廿八	星期日	无	己酉 戊辰 戊申 丁巳	无	谷雨 (4, 21)	鸡	白羊座	沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、选将、施恩、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1909-04-19 10:00:00	一九零九 己酉[鸡]年 闰二月小廿九	星期一	无	己酉 戊辰 己酉 己巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、赴任、纳畜、解除、整容、布政事、祈福、入宅、取鱼、整手足甲、纳采、覃恩、恤孤茕、立券交易、酝酿、搬移、安抚边境、雪冤、临政	宴会、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、营建、开仓、招贤、施恩、选将、修饰垣墙、出师、修仓库、缮城郭、补垣、上册、乘船渡水、求嗣、举正直、修宫室、筑堤防
1909-04-20 10:00:00	一九零九 己酉[鸡]年 三月小初一	星期二	二、殿、楚、江、王、诞	己酉 戊辰 庚戌 辛巳	无	谷雨 (4, 21)	鸡	白羊座	祭祀、沐浴、解除、覃恩、恤孤茕、雪冤	嫁娶、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、营建、纳畜、招贤、颁诏、修饰垣墙、修仓库、补垣、取鱼、鼓铸、上册、乘船渡水、宣政事、筑堤防、塞穴
1909-04-21 10:00:00	一九零九 己酉[鸡]年 三月小初二	星期三	无	己酉 戊辰 辛亥 癸巳	谷雨	立夏 (5, 6)	鸡	金牛座	宴会、安床、沐浴、纳财、牧养、纳畜、选将、安抚边境、庆赐、雪冤、覃恩、恤孤茕、取鱼、出师、布政事	出行、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、营建、开仓、解除、修饰垣墙、修仓库、缮城郭、祈福、补垣、求嗣、筑堤防、酝酿、修宫室
1909-04-22 10:00:00	一九零九 己酉[鸡]年 三月小初三	星期四	列、宁、诞、辰、纪、念、日、三、月、三、-、玄、天、上、帝、诞	己酉 戊辰 壬子 乙巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、宴会、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、牧养、安葬、赴任、纳畜、招贤、施恩、解除、颁诏、祈福、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、酝酿、诉讼、裁制、庆赐、雪冤、临政	修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、开仓、取鱼、远回、补垣、修饰垣墙
1909-04-23 10:00:00	一九零九 己酉[鸡]年 三月小初四	星期五	世、界、图、书、和、版、权、日	己酉 戊辰 癸丑 丁巳	无	立夏 (5, 6)	鸡	金牛座	进人口、纳财、捕捉、纳畜、雪冤、覃恩、恤孤茕、取鱼	出行、结婚姻、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、营建、开仓、招贤、施恩、解除、颁诏、修饰垣墙、修仓库、缮城郭、补垣、鼓铸、上册、纳采、宣政事、举正直、修宫室、筑堤防、立券交易、酝酿、裁制、搬移、临政
1909-04-24 10:00:00	一九零九 己酉[鸡]年 三月小初五	星期六	无	己酉 戊辰 甲寅 己巳	无	立夏 (5, 6)	鸡	金牛座	宴会、求医疗病、上表章、上官、入学、开市、牧养、招贤、施恩、解除、颁诏、祈福、入宅、上册、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、裁制、搬移、庆赐、雪冤、临政	祭祀、平治道涂、破屋坏垣、伐木、畋猎、营建、乘船渡水、开仓、取鱼、补垣、筑堤防、针刺、修饰垣墙、出师
1909-04-25 10:00:00	一九零九 己酉[鸡]年 三月小初六	星期日	无	己酉 戊辰 乙卯 辛巳	无	立夏 (5, 6)	鸡	金牛座	塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、整手足甲、上册、疗目、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、酝酿、搬移、安抚边境、庆赐、临政
1909-04-26 10:00:00	一九零九 己酉[鸡]年 三月小初七	星期一	世、界、知、识、产、权、日	己酉 戊辰 丙辰 癸巳	无	立夏 (5, 6)	鸡	金牛座	祭祀	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、鼓铸、整手足甲、上册、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1909-04-27 10:00:00	一九零九 己酉[鸡]年 三月小初八	星期二	六、殿、卞、城、王、诞	己酉 戊辰 丁巳 乙巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、修饰垣墙、布政事、补垣、取鱼、鼓铸、筑堤防、塞穴
1909-04-28 10:00:00	一九零九 己酉[鸡]年 三月小初九	星期三	无	己酉 戊辰 戊午 丁巳	无	立夏 (5, 6)	鸡	金牛座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、开张、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、入宅、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1909-04-29 10:00:00	一九零九 己酉[鸡]年 三月小初十	星期四	无	己酉 戊辰 己未 己巳	无	立夏 (5, 6)	鸡	金牛座	赴任、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、修仓库、出师、布政事、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1909-04-30 10:00:00	一九零九 己酉[鸡]年 三月小十一	星期五	无	己酉 戊辰 庚申 辛巳	无	立夏 (5, 6)	鸡	金牛座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、选将、施恩、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
