1993-12-11	一九九三 癸酉[鸡]年 十月小廿八	周六	无	无	无	癸酉 甲子 丙寅 癸巳	无	冬至 (12, 22)	鸡	射手座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、解除、恤孤茕、出师、布政事、选将、覃恩、求嗣、雪冤、缮城郭、安抚边境、塞穴、上册、修宫室、祈福	祭祀、招贤、远回
1993-12-12	一九九三 癸酉[鸡]年 十月小廿九	周日	无	无	西安事变纪念日	癸酉 甲子 丁卯 乙巳	无	冬至 (12, 22)	鸡	射手座	祭祀、平治道涂、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1993-12-13	一九九三 癸酉[鸡]年 冬月大初一	周一	无	无	南京大屠杀纪念日	癸酉 甲子 戊辰 丁巳	无	冬至 (12, 22)	鸡	射手座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、安葬、庆赐、临政、搬移、裁制、纳采、赴任、入宅、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、缮城郭、修宫室、祈福、诉讼	求医疗病、开市、修置产室、栽种、开仓、整手足甲、解除
1993-12-14	一九九三 癸酉[鸡]年 冬月大初二	周二	无	无	无	癸酉 甲子 己巳 己巳	无	冬至 (12, 22)	鸡	射手座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1993-12-15	一九九三 癸酉[鸡]年 冬月大初三	周三	无	无	无	癸酉 甲子 庚午 辛巳	无	冬至 (12, 22)	鸡	射手座	诸事不宜	诸事不宜
1993-12-16	一九九三 癸酉[鸡]年 冬月大初四	周四	无	至圣先师孔子诞	无	癸酉 甲子 辛未 癸巳	无	冬至 (12, 22)	鸡	射手座	伐木、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1993-12-17	一九九三 癸酉[鸡]年 冬月大初五	周五	无	无	无	癸酉 甲子 壬申 乙巳	无	冬至 (12, 22)	鸡	射手座	祭祀、沐浴、剃头、求医疗病、上表章、上官、入学、竖柱上梁、经络、扫舍宇、牧养、安葬、临政、裁制、颁诏、恤孤茕、解除、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、鼓铸、修饰垣墙、塞穴、乘船渡水、开仓
1993-12-18	一九九三 癸酉[鸡]年 冬月大初六	周六	无	西岳大帝诞	无	癸酉 甲子 癸酉 丁巳	无	冬至 (12, 22)	鸡	射手座	沐浴、剃头、扫舍宇、捕捉、畋猎、赴任、入宅、整容	祭祀、结婚姻、宴会、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、启攒、庆赐、临政、开仓、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、缮城郭、施恩、安抚边境、取鱼、宣政事、上册、修宫室、祈福
1993-12-19	一九九三 癸酉[鸡]年 冬月大初七	周日	无	无	无	癸酉 甲子 甲戌 己巳	无	冬至 (12, 22)	鸡	射手座	宴会、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、伐木、捕捉、畋猎、选将、取鱼、安抚边境、乘船渡水、出师
1993-12-20	一九九三 癸酉[鸡]年 冬月大初八	周一	无	无	无	癸酉 甲子 乙亥 辛巳	无	冬至 (12, 22)	鸡	射手座	祭祀、沐浴、纳财、牧养、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、缮城郭、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、祈福
1993-12-21	一九九三 癸酉[鸡]年 冬月大初九	周二	无	无	无	癸酉 甲子 丙子 癸巳	无	冬至 (12, 22)	鸡	射手座	诸事不宜	诸事不宜
1993-12-22	一九九三 癸酉[鸡]年 冬月大初十	周三	无	无	无	癸酉 甲子 丁丑 乙巳	冬至	小寒 (1, 5)	鸡	射手座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	剃头、冠带、畋猎、取鱼
1993-12-23	一九九三 癸酉[鸡]年 冬月大十一	周四	无	太乙救苦天尊诞	无	癸酉 甲子 戊寅 丁巳	无	小寒 (1, 5)	鸡	摩羯座	宴会、嫁娶、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、补垣、裁制、立券交易、入宅、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、招贤、远回
1993-12-24	一九九三 癸酉[鸡]年 冬月大十二	周五	无	无	平安夜	癸酉 甲子 己卯 己巳	无	小寒 (1, 5)	鸡	摩羯座	诸事不宜	诸事不宜
1993-12-25	一九九三 癸酉[鸡]年 冬月大十三	周六	无	无	圣诞节	癸酉 甲子 庚辰 辛巳	无	小寒 (1, 5)	鸡	摩羯座	祭祀、宴会、修造、上官、冠带、进人口、竖柱上梁、安碓硙、安葬、庆赐、临政、裁制、纳采、赴任、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、缮城郭、修宫室、祈福、诉讼	求医疗病、开市、修置产室、栽种、开仓、解除
1993-12-26	一九九三 癸酉[鸡]年 冬月大十四	周日	无	无	毛泽东诞辰纪念日	癸酉 甲子 辛巳 癸巳	无	小寒 (1, 5)	鸡	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、补垣、鼓铸、乘船渡水、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1993-12-27	一九九三 癸酉[鸡]年 冬月大十五	周一	无	无	无	癸酉 甲子 壬午 乙巳	无	小寒 (1, 5)	鸡	摩羯座	祭祀、沐浴、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、祈福
1993-12-28	一九九三 癸酉[鸡]年 冬月大十六	周二	无	无	无	癸酉 甲子 癸未 丁巳	无	小寒 (1, 5)	鸡	摩羯座	伐木、畋猎、赴任、入宅、恤孤茕、覃恩、雪冤	结婚姻、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、安葬、启攒、补垣、临政、开仓、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、筑堤防、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
1993-12-29	一九九三 癸酉[鸡]年 冬月大十七	周三	无	阿弥陀佛诞	无	癸酉 甲子 甲申 己巳	无	小寒 (1, 5)	鸡	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上官、入学、竖柱上梁、经络、扫舍宇、牧养、安葬、临政、裁制、解除、整容、举正直、酝酿、求嗣、施恩、整手足甲、祈福	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、选将、补垣、取鱼、修饰垣墙、鼓铸、塞穴、乘船渡水、出师
1993-12-30	一九九三 癸酉[鸡]年 冬月大十八	周四	无	无	无	癸酉 甲子 乙酉 辛巳	无	小寒 (1, 5)	鸡	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、整容、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、修宫室、立券交易、祈福
1993-12-31	一九九三 癸酉[鸡]年 冬月大十九	周五	无	太阳日宫诞	无	癸酉 甲子 丙戌 癸巳	无	小寒 (1, 5)	鸡	摩羯座	宴会、修造、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、解除、恤孤茕、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、进人口、伐木、捕捉、畋猎、开仓、出师、选将、取鱼、安抚边境、整手足甲
