2041-12-01	二零四一 辛酉[鸡]年 冬月小初八	周日	无	无	世界艾滋病日	辛酉 己亥 戊辰 丁巳	无	大雪 (12, 7)	鸡	射手座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、畋猎、牧养、安葬、庆赐、临政、搬移、裁制、纳采、立券交易、颁诏、恤孤茕、纳畜、解除、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、筑堤防、补垣、修饰垣墙、修宫室、开仓
2041-12-02	二零四一 辛酉[鸡]年 冬月小初九	周一	无	无	无	辛酉 己亥 己巳 己巳	无	大雪 (12, 7)	鸡	射手座	祭祀、求医疗病、破屋坏垣、解除、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、畋猎、破土、启攒、补垣、开仓、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
2041-12-03	二零四一 辛酉[鸡]年 冬月小初十	周二	无	无	无	辛酉 己亥 庚午 辛巳	无	大雪 (12, 7)	鸡	射手座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、伐木、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、安抚边境、施恩、宣政事、上册、祈福	冠带、修置产室、畋猎、筑堤防、取鱼、苫盖、修宫室、开仓
2041-12-04	二零四一 辛酉[鸡]年 冬月小十一	周三	无	太乙救苦天尊诞	无	辛酉 己亥 辛未 癸巳	无	大雪 (12, 7)	鸡	射手座	祭祀、结婚姻、宴会、修造、入学、竖柱上梁、经络、开市、纳财、安碓硙、破土、庆赐、裁制、纳采、修仓库、赴任、入宅、纳畜、筑堤防、缮城郭、修宫室、立券交易、祈福	求医疗病、捕捉、畋猎、招贤、选将、取鱼、宣政事、颁诏、乘船渡水、出师
2041-12-05	二零四一 辛酉[鸡]年 冬月小十二	周四	无	无	无	辛酉 己亥 壬申 乙巳	无	大雪 (12, 7)	鸡	射手座	沐浴、扫舍宇、捕捉	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
2041-12-06	二零四一 辛酉[鸡]年 冬月小十三	周五	无	无	无	辛酉 己亥 癸酉 丁巳	无	大雪 (12, 7)	鸡	射手座	沐浴、入学、扫舍宇、恤孤茕、覃恩、雪冤	结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、伐木、畋猎、启攒、补垣、开仓、纳采、入宅、出师、布政事、选将、筑堤防、酝酿、营建、取鱼、安抚边境、塞穴
2041-12-07	二零四一 辛酉[鸡]年 冬月小十四	周六	无	无	无	辛酉 庚子 甲戌 己巳	大雪	冬至 (12, 21)	鸡	射手座	结婚姻、宴会、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、伐木、捕捉、畋猎、选将、取鱼、安抚边境、乘船渡水、出师
2041-12-08	二零四一 辛酉[鸡]年 冬月小十五	周日	无	无	无	辛酉 庚子 乙亥 辛巳	无	冬至 (12, 21)	鸡	射手座	祭祀、沐浴、纳财、牧养、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、缮城郭、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、整容、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、整手足甲、祈福
2041-12-09	二零四一 辛酉[鸡]年 冬月小十六	周一	无	无	无	辛酉 庚子 丙子 癸巳	无	冬至 (12, 21)	鸡	射手座	沐浴、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2041-12-10	二零四一 辛酉[鸡]年 冬月小十七	周二	无	阿弥陀佛诞	无	辛酉 庚子 丁丑 乙巳	无	冬至 (12, 21)	鸡	射手座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	剃头、冠带、畋猎、取鱼
2041-12-11	二零四一 辛酉[鸡]年 冬月小十八	周三	无	无	无	辛酉 庚子 戊寅 丁巳	无	冬至 (12, 21)	鸡	射手座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、补垣、裁制、立券交易、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、招贤、远回
2041-12-12	二零四一 辛酉[鸡]年 冬月小十九	周四	无	太阳日宫诞	西安事变纪念日	辛酉 庚子 己卯 己巳	无	冬至 (12, 21)	鸡	射手座	诸事不宜	诸事不宜
2041-12-13	二零四一 辛酉[鸡]年 冬月小二十	周五	无	无	南京大屠杀纪念日	辛酉 庚子 庚辰 辛巳	无	冬至 (12, 21)	鸡	射手座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、安碓硙、安葬、庆赐、临政、裁制、纳采、赴任、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、缮城郭、修宫室、祈福、诉讼	求医疗病、开市、修置产室、栽种、开仓、解除
2041-12-14	二零四一 辛酉[鸡]年 冬月小廿一	周六	无	无	无	辛酉 庚子 辛巳 癸巳	无	冬至 (12, 21)	鸡	射手座	祭祀、捕捉、赴任、入宅、恤孤茕、覃恩、雪冤	出行、剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、开张、鼓铸、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
2041-12-15	二零四一 辛酉[鸡]年 冬月小廿二	周日	无	无	无	辛酉 庚子 壬午 乙巳	无	冬至 (12, 21)	鸡	射手座	祭祀、沐浴、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、祈福
2041-12-16	二零四一 辛酉[鸡]年 冬月小廿三	周一	无	张仙诞	无	辛酉 庚子 癸未 丁巳	无	冬至 (12, 21)	鸡	射手座	伐木、畋猎、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
