2096-04-11	二零九六 丙辰[龙]年 三月大十九	周三	无	中岳大帝诞	无	丙辰 壬辰 癸亥 丁巳	无	谷雨 (4, 19)	龙	白羊座	安床、沐浴、纳财、栽种、牧养、取鱼、纳畜	出行、嫁娶、求医疗病、畋猎、破土、安葬、启攒、修仓库、祈福、整手足甲、解除、开仓、求嗣
2096-04-12	二零九六 丙辰[龙]年 三月大二十	周四	无	子孙娘娘诞	无	丙辰 壬辰 甲子 己巳	无	谷雨 (4, 19)	龙	白羊座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、立券交易、赴任、恤孤茕、纳畜、布政事、举正直、酝酿、覃恩、雪冤、施恩、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、营建、补垣、修饰垣墙、远回、开仓
2096-04-13	二零九六 丙辰[龙]年 三月大廿一	周五	无	无	无	丙辰 壬辰 乙丑 辛巳	无	谷雨 (4, 19)	龙	白羊座	进人口、纳财、捕捉、覃恩、取鱼、纳畜、恤孤茕、雪冤	出行、结婚姻、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、招贤、筑堤防、举正直、酝酿、营建、缮城郭、施恩、宣政事、上册、修宫室、整手足甲、立券交易
2096-04-14	二零九六 丙辰[龙]年 三月大廿二	周六	无	无	无	丙辰 壬辰 丙寅 癸巳	无	谷雨 (4, 19)	龙	白羊座	出行、宴会、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、颁诏、恤孤茕、解除、入宅、招贤、选将、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福	祭祀、伐木、畋猎、取鱼、针刺、乘船渡水、出师
2096-04-15	二零九六 丙辰[龙]年 三月大廿三	周日	无	无	无	丙辰 壬辰 丁卯 乙巳	无	谷雨 (4, 19)	龙	白羊座	祭祀、补垣、裁制、恤孤茕、覃恩、雪冤、塞穴	剃头、冠带、修置产室、开渠、穿井、畋猎、整容、取鱼、整手足甲、针刺、乘船渡水、疗目
2096-04-16	二零九六 丙辰[龙]年 三月大廿四	周一	无	无	无	丙辰 壬辰 戊辰 丁巳	无	谷雨 (4, 19)	龙	白羊座	恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
2096-04-17	二零九六 丙辰[龙]年 三月大廿五	周二	无	无	无	丙辰 壬辰 己巳 己巳	无	谷雨 (4, 19)	龙	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、庆赐、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
2096-04-18	二零九六 丙辰[龙]年 三月大廿六	周三	无	无	无	丙辰 壬辰 庚午 辛巳	无	谷雨 (4, 19)	龙	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、祈福
2096-04-19	二零九六 丙辰[龙]年 三月大廿七	周四	无	七殿泰山王诞	无	丙辰 壬辰 辛未 癸巳	谷雨	立夏 (5, 4)	龙	白羊座	赴任、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
2096-04-20	二零九六 丙辰[龙]年 三月大廿八	周五	无	苍颉至圣先师诞	无	丙辰 壬辰 壬申 乙巳	无	立夏 (5, 4)	龙	白羊座	祭祀、沐浴、扫舍宇、覃恩、恤孤茕、雪冤	安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、补垣、开仓、鼓铸、布政事、筑堤防、取鱼、修饰垣墙、塞穴、远回
2096-04-21	二零九六 丙辰[龙]年 三月大廿九	周六	无	无	无	丙辰 壬辰 癸酉 丁巳	无	立夏 (5, 4)	龙	金牛座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、临政、解除、纳畜、整容、酝酿、取鱼、安抚边境、整手足甲、立券交易、祈福	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、庆赐、补垣、搬移、开仓、纳采、修仓库、乘船渡水、出师、招贤、筑堤防、选将、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、上册、修宫室
2096-04-22	二零九六 丙辰[龙]年 三月大三十	周日	无	无	列宁诞辰纪念日	丙辰 壬辰 甲戌 己巳	无	立夏 (5, 4)	龙	金牛座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、立券交易
2096-04-23	二零九六 丙辰[龙]年 四月小初一	周一	无	八殿都市王诞	世界图书和版权日	丙辰 壬辰 乙亥 辛巳	无	立夏 (5, 4)	龙	金牛座	安床、沐浴、牧养、取鱼、纳畜	出行、结婚姻、嫁娶、修造、求医疗病、进人口、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、补垣、开仓、纳采、修仓库、解除、筑堤防、求嗣、营建、缮城郭、修饰垣墙、整手足甲、修宫室、立券交易、祈福
2096-04-24	二零九六 丙辰[龙]年 四月小初二	周二	无	无	无	丙辰 壬辰 丙子 癸巳	无	立夏 (5, 4)	龙	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、安葬、庆赐、临政、裁制、开仓、纳采、立券交易、赴任、入宅、纳畜、解除、举正直、酝酿、求嗣、施恩、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、补垣、修饰垣墙、远回
2096-04-25	二零九六 丙辰[龙]年 四月小初三	周三	无	无	无	丙辰 壬辰 丁丑 乙巳	无	立夏 (5, 4)	龙	金牛座	进人口、纳财、捕捉、牧养、恤孤茕、纳畜、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、乘船渡水、布政事、筑堤防、整容、修饰垣墙、取鱼
2096-04-26	二零九六 丙辰[龙]年 四月小初四	周四	无	文殊菩萨诞	世界知识产权日	丙辰 壬辰 戊寅 丁巳	无	立夏 (5, 4)	龙	金牛座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、牧养、庆赐、临政、搬移、裁制、纳采、立券交易、颁诏、恤孤茕、解除、纳畜、招贤、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、祈福	祭祀、平治道涂、破屋坏垣、伐木、畋猎、启攒、筑堤防、补垣、取鱼、修饰垣墙、针刺、乘船渡水、出师
2096-04-27	二零九六 丙辰[龙]年 四月小初五	周五	无	无	无	丙辰 壬辰 己卯 己巳	无	立夏 (5, 4)	龙	金牛座	覃恩、塞穴、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、乘船渡水、纳畜、出师、解除、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、修宫室、祈福
2096-04-28	二零九六 丙辰[龙]年 四月小初六	周六	无	无	无	丙辰 壬辰 庚辰 辛巳	无	立夏 (5, 4)	龙	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
2096-04-29	二零九六 丙辰[龙]年 四月小初七	周日	无	无	无	丙辰 壬辰 辛巳 癸巳	无	立夏 (5, 4)	龙	金牛座	宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、经络、开市、纳财、扫舍宇、栽种、牧养、庆赐、临政、搬移、开仓、纳采、赴任、解除、恤孤茕、纳畜、入宅、整容、布政事、选将、覃恩、酝酿、雪冤、安抚边境、整手足甲、立券交易	出行、结婚姻、上表章、冠带、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、开张、裁制、修仓库、鼓铸、颁诏、招贤、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
2096-04-30	二零九六 丙辰[龙]年 四月小初八	周一	无	释迦牟尼佛诞	无	丙辰 壬辰 壬午 乙巳	无	立夏 (5, 4)	龙	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、入宅、整容、筑堤防、取鱼、修饰垣墙、苫盖、整手足甲
