1921-07-11	一九二一 辛酉[鸡]年	六月大	初七	周一	辛酉 乙未 乙亥 辛巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	宴会、沐浴、冠带、进人口、竖柱上梁、经络、安碓硙、雪冤、裁制、缮城郭、纳畜、酝酿、庆赐、纳采、临政、恤孤茕、修宫室	嫁娶、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、选将、出师、解除、乘船渡水、安抚边境、取鱼、开仓、上册
1921-07-12	一九二一 辛酉[鸡]年	六月大	初八	周二	辛酉 乙未 丙子 癸巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、捕捉、入宅、解除、纳采、整手足甲、安抚边境、临政、搬移、整容	出行、结婚姻、宴会、安床、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、安葬、立券交易、乘船渡水、缮城郭、远回、招贤、选将、举正直、塞穴、纳畜、取鱼、上册、出师、祈福、酝酿、庆赐、开仓、鼓铸、补垣、施恩、修仓库、筑堤防、营建、求嗣、修宫室
1921-07-13	一九二一 辛酉[鸡]年	六月大	初九	周三	辛酉 乙未 丁丑 乙巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	诸事不宜	诸事不宜
1921-07-14	一九二一 辛酉[鸡]年	六月大	初十	周四	辛酉 乙未 戊寅 丁巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	出行、结婚姻、宴会、安床、修造、上官、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、立券交易、裁制、缮城郭、举正直、纳畜、酝酿、庆赐、开仓、施恩、纳采、临政、搬移、修宫室	祭祀、嫁娶、安葬、出师
1921-07-15	一九二一 辛酉[鸡]年	六月大	十一	周五	辛酉 乙未 己卯 己巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、上册、颁诏、祈福、酝酿、庆赐、开仓、解除、施恩、纳采、修仓库、临政、筑堤防、恤孤茕、宣政事、营建、求嗣、修宫室	穿井、畋猎、苫盖、取鱼
1921-07-16	一九二一 辛酉[鸡]年	六月大	十二	周六	辛酉 乙未 庚辰 辛巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、进人口、纳财、捕捉、栽种、牧养、雪冤、覃恩、纳畜、恤孤茕	嫁娶、剃头、冠带、修置产室、开渠、穿井、破土、安葬、启攒、招贤、选将、上册、颁诏、出师、安抚边境、整容、鼓铸、修仓库、筑堤防、营建、宣政事
1921-07-17	一九二一 辛酉[鸡]年	六月大	十三	周日	辛酉 乙未 辛巳 癸巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、雪冤、赴任、裁制、覃恩、缮城郭、布政事、选将、上册、入宅、祈福、安抚边境、庆赐、开仓、解除、修宫室、纳采、修仓库、临政、搬移、恤孤茕、求嗣	出行、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、安葬、启攒、远回、塞穴、纳畜、取鱼、修饰垣墙、出师、整容、鼓铸、补垣、整手足甲、筑堤防、营建
1921-07-18	一九二一 辛酉[鸡]年	六月大	十四	周一	辛酉 乙未 壬午 乙巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	经络、安葬、雪冤、赴任、诉讼、覃恩、塞穴、酝酿、补垣、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、立券交易、疗目、针刺、乘船渡水、缮城郭、苫盖、招贤、布政事、举正直、选将、纳畜、取鱼、上册、颁诏、出师、祈福、庆赐、开仓、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
1921-07-19	一九二一 辛酉[鸡]年	六月大	十五	周二	辛酉 乙未 癸未 丁巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	出行、宴会、嫁娶、上官、进人口、经络、纳财、立券交易、雪冤、裁制、覃恩、招贤、布政事、举正直、纳畜、酝酿、庆赐、施恩、临政、恤孤茕	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、上册、修饰垣墙、开仓、整容、补垣、解除、整手足甲、筑堤防、营建、求嗣
1921-07-20	一九二一 辛酉[鸡]年	六月大	十六	周三	辛酉 乙未 甲申 己巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、出师、祈福、庆赐、整容、解除、施恩、整手足甲、纳采、修仓库、临政、搬移、营建、恤孤茕、宣政事、求嗣、安抚边境	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、立券交易、乘船渡水、布政事、塞穴、取鱼、修饰垣墙、酝酿、开仓、鼓铸、补垣、修宫室、筑堤防
1921-07-21	一九二一 辛酉[鸡]年	六月大	十七	周四	辛酉 乙未 乙酉 辛巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、针刺、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、上册、颁诏、修饰垣墙、出师、祈福、入宅、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、纳采、施恩、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
1921-07-22	一九二一 辛酉[鸡]年	六月大	十八	周五	辛酉 乙未 丙戌 癸巳	鸡	巨蟹座	无	大暑 (7, 23)	无	无	无	入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、整手足甲、招贤、布政事、举正直、选将、塞穴、纳畜、上册、颁诏、修饰垣墙、出师、祈福、安抚边境、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣
1921-07-23	一九二一 辛酉[鸡]年	六月大	十九	周六	辛酉 乙未 丁亥 乙巳	鸡	狮子座	大暑	立秋 (8, 8)	无	观世音菩萨成道日	无	宴会、沐浴、冠带、竖柱上梁、经络、雪冤、裁制、纳畜、酝酿、庆赐、临政、恤孤茕	嫁娶、剃头、求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、乘船渡水、选将、取鱼、上册、修饰垣墙、出师、安抚边境、整容、开仓、补垣、解除、整手足甲、筑堤防、营建
1921-07-24	一九二一 辛酉[鸡]年	六月大	二十	周日	辛酉 乙未 戊子 丁巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	祭祀、沐浴、剃头、捕捉、裁制、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、乘船渡水、缮城郭、远回、招贤、选将、举正直、塞穴、纳畜、取鱼、上册、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、鼓铸、补垣、解除、纳采、施恩、修宫室、修仓库、临政、搬移、营建、筑堤防、求嗣、安抚边境
1921-07-25	一九二一 辛酉[鸡]年	六月大	廿一	周一	辛酉 乙未 己丑 己巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、解除、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、整容、鼓铸、开仓、补垣、修宫室、施恩、整手足甲、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
1921-07-26	一九二一 辛酉[鸡]年	六月大	廿二	周二	辛酉 乙未 庚寅 辛巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	宴会、安床、上表章、开市、纳财、牧养、安葬、选将、立券交易、纳畜、安抚边境、酝酿、开仓	祭祀、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、缮城郭、修饰垣墙、祈福、补垣、解除、修仓库、筑堤防、营建、求嗣、修宫室
1921-07-27	一九二一 辛酉[鸡]年	六月大	廿三	周三	辛酉 乙未 辛卯 癸巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、立券交易、赴任、裁制、举正直、上册、入宅、祈福、庆赐、开仓、解除、纳采、施恩、临政、求嗣	修置产室、开渠、穿井、平治道涂、破屋坏垣、选将、补垣、修饰垣墙、出师、乘船渡水、整手足甲、苫盖、营建
1921-07-28	一九二一 辛酉[鸡]年	六月大	廿四	周四	辛酉 乙未 壬辰 乙巳	鸡	狮子座	无	立秋 (8, 8)	无	关帝诞	无	祭祀、进人口、纳财、捕捉、牧养、纳畜	嫁娶、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、招贤、布政事、选将、上册、颁诏、修饰垣墙、出师、安抚边境、鼓铸、补垣、修仓库、筑堤防、营建、宣政事
1921-07-29	一九二一 辛酉[鸡]年	六月大	廿五	周五	辛酉 乙未 癸巳 丁巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	入学、雪冤、覃恩、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、远回、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
1921-07-30	一九二一 辛酉[鸡]年	六月大	廿六	周六	辛酉 乙未 甲午 己巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	祭祀、经络、安葬、雪冤、赴任、裁制、诉讼、覃恩、塞穴、酝酿、恤孤茕	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、疗目、针刺、修饰垣墙、修宫室、苫盖、取鱼、开仓、布政事
1921-07-31	一九二一 辛酉[鸡]年	六月大	廿七	周日	辛酉 乙未 乙未 辛巳	鸡	狮子座	无	立秋 (8, 8)	无	无	无	出行、宴会、上官、进人口、经络、纳财、立券交易、裁制、招贤、举正直、选将、纳畜、酝酿、庆赐、施恩、临政、安抚边境	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、上册、修饰垣墙、整容、开仓、补垣、解除、整手足甲、筑堤防、营建、求嗣
