1984-05-01	一九八四 甲子[鼠]年	四月大	初一	周二	国际劳动节	八殿都市王诞	无	甲子 戊辰 乙未 辛巳	无	立夏 (5, 5)	鼠	金牛座	诸事不宜	诸事不宜
1984-05-02	一九八四 甲子[鼠]年	四月大	初二	周三	无	无	无	甲子 戊辰 丙申 癸巳	无	立夏 (5, 5)	鼠	金牛座	祭祀、沐浴、扫舍宇、布政事	诸事不忌
1984-05-03	一九八四 甲子[鼠]年	四月大	初三	周四	无	无	世界新闻自由日	甲子 戊辰 丁酉 乙巳	无	立夏 (5, 5)	鼠	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、捕捉、栽种、牧养、安葬、出师、纳畜、颁诏、纳采、举正直、安抚边境、修仓库、雪冤、整手足甲、缮城郭、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、求嗣、覃恩、上册、恤孤茕、修宫室、选将、营建、搬移	宴会、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、乘船渡水、取鱼、筑堤防、修饰垣墙、补垣
1984-05-04	一九八四 甲子[鼠]年	四月大	初四	周五	无	文殊菩萨诞	中国青年节	甲子 戊辰 戊戌 丁巳	无	立夏 (5, 5)	鼠	金牛座	沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、布政事、纳畜、取鱼、颁诏、纳采、补垣、举正直、修仓库、缮城郭、鼓铸、宣政事、临政、乘船渡水、酝酿、立券交易、招贤、开仓、筑堤防、施恩、求嗣、塞穴、修饰垣墙、上册、庆赐、修宫室、营建
1984-05-05	一九八四 甲子[鼠]年	四月大	初五	周六	无	无	马克思诞辰纪念日	甲子 己巳 己亥 己巳	立夏	小满 (5, 21)	鼠	金牛座	沐浴、破屋坏垣、赴任、入宅、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、布政事、取鱼、颁诏、补垣、修仓库、整手足甲、鼓铸、宣政事、乘船渡水、招贤、筑堤防、塞穴、修饰垣墙、上册、整容、营建
1984-05-06	一九八四 甲子[鼠]年	四月大	初六	周日	无	无	无	甲子 己巳 庚子 辛巳	无	小满 (5, 21)	鼠	金牛座	祭祀、宴会、沐浴、颁诏、雪冤、裁制、宣政事、覃恩、庆赐、恤孤茕	冠带、进人口、经络、开市、纳财、修置产室、畋猎、取鱼、整手足甲、立券交易、开仓、筑堤防、修宫室
1984-05-07	一九八四 甲子[鼠]年	四月大	初七	周一	无	无	无	甲子 己巳 辛丑 癸巳	无	小满 (5, 21)	鼠	金牛座	祭祀、出行、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、颁诏、纳采、举正直、修仓库、雪冤、缮城郭、裁制、宣政事、临政、立券交易、招贤、祈福、筑堤防、施恩、解除、求嗣、覃恩、上册、庆赐、恤孤茕、修宫室、营建	冠带、立券、畋猎、开张、乘船渡水、取鱼、远回
1984-05-08	一九八四 甲子[鼠]年	四月大	初八	周二	无	释迦牟尼佛诞	世界红十字日	甲子 己巳 壬寅 乙巳	无	小满 (5, 21)	鼠	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、出师、搬移
1984-05-09	一九八四 甲子[鼠]年	四月大	初九	周三	无	无	无	甲子 己巳 癸卯 丁巳	无	小满 (5, 21)	鼠	金牛座	入学、雪冤、覃恩、恤孤茕	竖柱上梁、经络、穿井、伐木、畋猎、安葬、布政事、取鱼、补垣、纳采、安抚边境、酝酿、开仓、入宅、筑堤防、塞穴、选将、营建、出师
1984-05-10	一九八四 甲子[鼠]年	四月大	初十	周四	无	无	无	甲子 己巳 甲辰 己巳	无	小满 (5, 21)	鼠	金牛座	祭祀、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、安葬、布政事、纳畜、取鱼、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、乘船渡水、针刺、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、出师、疗目、搬移
1984-05-11	一九八四 甲子[鼠]年	四月大	十一	周五	无	无	世界肥胖日	甲子 己巳 乙巳 辛巳	无	小满 (5, 21)	鼠	金牛座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、颁诏、举正直、安抚边境、雪冤、裁制、宣政事、临政、酝酿、立券交易、招贤、施恩、覃恩、庆赐、恤孤茕、选将、搬移	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、整容、整手足甲、取鱼、开仓、筑堤防、补垣、修饰垣墙
